YearRemodAdd,YearBuilt,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,Neighborhood,ExterQual,BsmtQual,KitchenQual,GarageFinish,FullBath,GarageType,MSSubClass,Foundation,FireplaceQu,Fireplaces,TotRmsAbvGrd,HeatingQC,SalePrice
2006,2006,1370,1370,484,2,1370,8,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,120,PConc,Gd,1,6,Ex,202500
1950,1921,902,576,480,2,1710,7,OldTown,TA,TA,TA,Unf,2,Detchd,70,BrkTil,,0,9,Gd,140000
1998,1997,1057,1057,645,2,2034,7,CollgCr,TA,Gd,Gd,RFn,2,Attchd,60,PConc,,0,8,Ex,219500
2005,2004,1143,1143,852,3,2473,8,NridgHt,Gd,Ex,Gd,RFn,2,BuiltIn,60,PConc,Gd,1,9,Ex,317000
1989,1970,2207,1947,576,2,2207,7,NAmes,TA,Gd,TA,RFn,2,Attchd,20,CBlock,Gd,1,7,TA,180000
2003,2003,1479,1453,558,2,1479,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,7,Ex,226000
1950,1945,747,747,220,1,747,4,OldTown,TA,TA,TA,Unf,1,Attchd,30,CBlock,,0,4,TA,80000
1953,1953,1304,1304,667,2,2287,7,ClearCr,Gd,TA,TA,Fin,2,Attchd,50,CBlock,TA,1,7,TA,225000
1973,1973,2223,2223,516,2,2223,7,NAmes,TA,Gd,TA,Fin,2,Attchd,20,CBlock,Gd,2,8,Ex,244000
2006,1982,845,845,360,2,845,4,Mitchel,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,TA,129500
1998,1998,885,832,427,2,1718,7,Gilbert,TA,Gd,TA,Fin,2,Attchd,60,PConc,TA,1,7,Gd,185000
2003,1954,1086,1086,490,2,1086,5,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,Gd,144900
1950,1915,840,840,379,1,1605,3,OldTown,Gd,Fa,TA,Unf,2,Detchd,50,CBlock,,0,8,Gd,107400
1973,1973,526,462,297,1,988,4,MeadowV,TA,Gd,TA,Unf,1,BuiltIn,180,CBlock,,0,5,TA,91000
1956,1956,952,952,283,1,952,4,NAmes,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,Ex,135750
2001,1948,1072,672,240,1,1285,5,BrkSide,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,6,TA,127000
1968,1968,1768,1768,0,0,1768,4,Sawyer,TA,TA,TA,,2,,90,CBlock,,0,8,TA,136500
1981,1910,682,440,440,2,1230,5,OldTown,TA,TA,TA,Unf,1,Detchd,50,PConc,,0,5,Gd,110000
1968,1968,1182,896,509,1,2142,6,NAmes,TA,Gd,Gd,Fin,2,Attchd,60,CBlock,Gd,1,8,TA,193500
1998,1998,1337,1237,405,2,1337,6,Mitchel,TA,Ex,TA,Fin,2,Attchd,120,PConc,,0,5,Ex,153500
2007,2007,1563,1563,758,3,1563,8,Somerst,TA,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,6,Ex,245000
1960,1960,1065,1065,461,2,1065,5,NAmes,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,6,Gd,126500
1996,1995,804,384,400,2,1474,7,Gilbert,TA,Gd,TA,Fin,2,BuiltIn,80,PConc,TA,1,7,Gd,168500
1992,1991,1301,1288,462,2,2417,8,NoRidge,Gd,Gd,Gd,Unf,2,Attchd,60,CBlock,TA,1,9,Ex,260000
2005,2005,684,684,400,2,1560,6,Gilbert,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,Gd,1,6,Ex,174000
2009,2009,612,612,528,2,1224,6,Somerst,Gd,Gd,Gd,RFn,2,Detchd,160,PConc,,0,4,Ex,164500
1982,1915,1013,1013,0,0,1526,3,IDOTRR,Fa,TA,Fa,,1,,50,CBlock,,0,6,TA,85000
1995,1994,990,990,0,0,990,4,CollgCr,TA,Gd,TA,,1,,20,PConc,,0,5,Ex,123600
1950,1950,1040,0,420,2,1040,4,NAmes,TA,,TA,Unf,1,Detchd,20,Slab,,0,4,TA,109900
1961,1961,1235,1235,480,2,1235,5,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,TA,98600
2006,1921,964,876,432,2,964,5,Crawfor,TA,Gd,TA,Unf,1,Detchd,30,BrkTil,,0,5,Ex,163500
1998,1910,1260,1214,506,2,2291,6,OldTown,TA,TA,TA,Unf,2,Detchd,190,BrkTil,Gd,1,9,Ex,133900
1997,1997,905,824,684,2,1786,6,CollgCr,TA,Gd,Gd,RFn,2,Attchd,60,PConc,,0,7,Ex,204750
1993,1993,680,680,420,2,1470,6,Gilbert,Ex,Gd,TA,Fin,2,BuiltIn,60,PConc,TA,1,6,Gd,185000
1999,1999,1588,1588,472,2,1588,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,214000
1965,1965,960,960,432,1,960,4,Edwards,TA,TA,TA,Fin,1,Attchd,20,CBlock,,0,6,TA,94750
1950,1920,835,458,366,1,835,5,Edwards,TA,TA,TA,Unf,1,Basment,30,BrkTil,,0,5,Fa,83000
1959,1959,1225,950,0,0,1225,4,NAmes,TA,TA,TA,,1,,20,CBlock,,0,6,Fa,128950
2001,1977,1610,1610,480,2,1610,6,NWAmes,TA,TA,Gd,RFn,2,Attchd,20,PConc,TA,2,6,Gd,205000
1985,1985,977,741,476,2,1732,6,SawyerW,Gd,Gd,Gd,Fin,2,Attchd,60,CBlock,TA,1,7,TA,178000
1979,1979,1535,0,410,2,1535,5,SawyerW,TA,,TA,Unf,2,Attchd,90,Slab,,0,8,TA,118964
2009,2009,1226,1226,740,3,1226,7,CollgCr,TA,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,198900
1950,1931,1226,1040,240,1,1818,7,IDOTRR,TA,TA,TA,Unf,1,Detchd,50,PConc,TA,2,7,Ex,169500
2004,2003,1053,1053,648,2,1992,8,Somerst,Gd,Ex,Gd,RFn,2,Attchd,60,PConc,Gd,1,9,Ex,250000
1995,1885,1047,641,273,1,1047,4,OldTown,TA,Fa,TA,Unf,1,Detchd,30,BrkTil,,0,6,Gd,100000
1950,1948,789,789,250,1,789,5,OldTown,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,5,Ex,115000
2005,1919,997,793,0,0,1517,5,IDOTRR,TA,TA,Fa,,2,,50,CBlock,,0,7,TA,115000
1977,1977,1844,1844,546,2,1844,6,NWAmes,TA,Gd,TA,RFn,2,Attchd,20,CBlock,TA,1,7,Ex,190000
1972,1954,1216,994,325,1,1855,6,Edwards,TA,TA,TA,Unf,2,Attchd,50,CBlock,,0,7,Gd,136900
2000,2000,774,384,400,2,1430,7,Gilbert,TA,Gd,TA,Fin,2,BuiltIn,80,PConc,TA,1,7,Ex,180000
2007,2007,1282,1264,792,3,2696,7,CollgCr,Gd,Ex,Ex,Fin,2,BuiltIn,60,PConc,Gd,1,10,Ex,383970
1953,1953,2259,1809,450,2,2259,6,Crawfor,TA,Gd,Gd,Unf,2,Basment,20,CBlock,Gd,2,7,TA,217000
2002,1945,1436,1028,180,1,2320,6,Crawfor,TA,TA,Gd,Unf,2,Detchd,70,CBlock,TA,1,9,Ex,259500
1999,1999,729,729,440,2,1458,6,Somerst,TA,Gd,TA,Unf,2,Detchd,160,PConc,Fa,1,5,Gd,176000
1962,1962,1092,1092,288,1,1092,5,Sawyer,TA,TA,TA,Unf,1,Attchd,20,CBlock,Po,1,6,TA,139000
2007,2006,1125,1125,430,2,1125,5,Edwards,TA,Gd,TA,Unf,1,Attchd,20,PConc,,0,5,Gd,155000
1990,1990,1699,1673,594,3,3222,7,SawyerW,TA,Gd,Gd,Unf,3,Attchd,60,PConc,TA,2,11,Gd,320000
2006,2005,728,728,390,2,1456,6,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,Gd,1,8,Ex,163990
1969,1969,988,938,540,2,988,6,ClearCr,TA,TA,TA,Unf,1,Attchd,80,CBlock,TA,2,4,Ex,180000
1950,1939,772,732,264,1,1123,4,IDOTRR,TA,TA,TA,Unf,1,Detchd,50,PConc,,0,4,Gd,100000
1958,1958,1080,1080,288,1,1080,6,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,5,Gd,136000
1993,1993,1199,1199,530,2,1199,6,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,120,PConc,,0,5,Ex,153900
1998,1979,1586,1362,435,2,1586,6,NWAmes,TA,Gd,TA,Unf,2,Attchd,20,CBlock,TA,1,7,TA,181000
1982,1935,520,520,0,0,754,6,IDOTRR,TA,TA,TA,,1,,190,CBlock,,0,5,Gd,84500
1976,1976,958,1078,440,2,958,6,NPkVill,TA,Gd,TA,RFn,2,Attchd,120,CBlock,TA,1,5,TA,128000
1950,1930,840,672,0,0,840,5,OldTown,TA,TA,TA,,1,,45,BrkTil,TA,1,5,Ex,87000
1966,1966,660,660,453,2,1348,6,NAmes,TA,TA,TA,RFn,1,Attchd,60,CBlock,Fa,1,6,TA,155000
1991,1958,1053,1008,750,2,1053,5,NAmes,TA,TA,Ex,RFn,1,2Types,20,CBlock,,0,6,TA,150000
1966,1966,1216,924,487,2,2157,7,NAmes,TA,TA,Gd,Fin,2,Attchd,60,CBlock,Gd,2,8,Ex,226000
2000,2000,1022,992,390,2,2054,6,Gilbert,Gd,Gd,Gd,RFn,2,BuiltIn,60,PConc,TA,1,7,Ex,244000
2002,1959,1327,1063,624,2,1327,5,NAmes,TA,TA,Gd,Unf,1,Detchd,20,CBlock,,0,7,Gd,150750
2002,2001,1296,1267,471,2,1296,8,Timber,Gd,Ex,Gd,Fin,2,Attchd,20,PConc,,0,6,Ex,220000
1993,1968,1721,1461,440,2,1721,5,Sawyer,TA,TA,TA,RFn,2,Attchd,20,CBlock,TA,1,7,Gd,180000
1970,1970,1682,1304,530,2,1682,7,NWAmes,TA,TA,TA,Unf,2,Attchd,20,PConc,Gd,1,7,Gd,174000
1967,1967,1214,1214,318,1,1214,5,NAmes,TA,TA,TA,RFn,2,Attchd,20,CBlock,Fa,1,5,TA,143000
1989,1988,1959,1907,766,3,1959,7,Mitchel,TA,TA,TA,Unf,3,2Types,90,CBlock,,0,9,Gd,171000
2000,1999,1004,1004,660,3,1852,8,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,TA,2,7,Ex,230000
1997,1997,928,928,470,2,1764,6,CollgCr,TA,Gd,Gd,RFn,2,Attchd,60,PConc,,0,7,Ex,231500
1971,1971,864,864,0,0,864,4,NAmes,TA,TA,TA,,1,,20,CBlock,Po,1,5,TA,115000
2005,2005,1734,1734,660,2,1734,7,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,,0,7,Ex,260000
1952,1952,910,910,720,2,1385,5,NAmes,TA,TA,TA,Unf,2,Detchd,50,CBlock,,0,6,Fa,166000
1999,1999,1501,1490,577,2,1501,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,204000
1963,1963,1728,1728,504,2,1728,5,Sawyer,TA,TA,TA,Unf,2,Detchd,90,CBlock,,0,10,TA,125000
2006,2004,970,970,380,2,1709,6,Edwards,Gd,Gd,Gd,Unf,2,Detchd,160,PConc,,0,7,Ex,130000
1993,1931,875,715,180,1,875,5,BrkSide,TA,TA,TA,Unf,1,Detchd,30,BrkTil,,0,5,TA,105000
2001,2001,884,884,434,2,2035,7,Gilbert,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,Gd,1,8,Ex,222500
2005,2004,1080,1080,0,0,1080,7,SawyerW,TA,Gd,Gd,,1,,20,PConc,,0,6,Ex,141000
1950,1936,896,896,240,1,1344,5,BrkSide,TA,Gd,TA,Unf,1,Detchd,50,BrkTil,,0,7,Gd,115000
1975,1975,969,969,440,2,969,5,CollgCr,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,5,TA,122000
2008,2007,1710,1710,866,3,1710,8,NridgHt,Gd,Ex,Gd,RFn,2,Attchd,20,PConc,Gd,1,6,Ex,372402
1971,1971,1097,825,495,2,1993,6,NWAmes,TA,TA,TA,RFn,2,Attchd,60,CBlock,Gd,1,8,Gd,190000
1975,1960,1252,1602,564,2,1252,6,ClearCr,TA,Gd,TA,RFn,1,Attchd,20,CBlock,Gd,1,4,Gd,235000
1950,1923,1200,1200,312,1,1200,6,OldTown,TA,TA,TA,Unf,1,Detchd,30,BrkTil,,0,7,TA,125000
1950,1924,572,572,0,0,1096,6,Edwards,TA,TA,TA,,1,,50,BrkTil,,0,5,Fa,79000
1950,1950,1040,0,625,2,1040,5,NAmes,TA,,TA,Unf,1,Detchd,20,CBlock,,0,5,TA,109500
2010,2009,774,774,680,3,1968,8,Timber,Gd,Ex,Ex,Fin,2,BuiltIn,60,PConc,Gd,1,8,Ex,269500
2005,2004,991,991,678,2,1947,7,Somerst,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Gd,1,8,Ex,254900
2006,2005,1392,1392,576,2,2462,7,Gilbert,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Gd,1,9,Ex,320000
1984,1984,1232,1232,516,2,1232,6,Veenker,TA,Gd,TA,Unf,2,Attchd,20,PConc,,0,6,TA,162500
2004,2003,1572,1572,726,3,2668,9,NridgHt,Gd,Ex,Ex,Fin,2,BuiltIn,60,PConc,Gd,2,10,Ex,412500
2005,2005,1541,1541,532,2,1541,7,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,220000
1956,1956,882,882,0,0,882,4,OldTown,TA,TA,TA,,1,,45,CBlock,,0,4,Ex,103200
2004,1926,1149,1149,216,1,1616,6,OldTown,TA,TA,Gd,Unf,2,Detchd,40,BrkTil,,0,5,Gd,152000
1999,1940,808,644,0,0,1355,5,Edwards,TA,TA,TA,,2,,190,BrkTil,,0,6,Gd,127500
1993,1955,1867,1617,303,1,1867,5,ClearCr,Gd,TA,TA,Fin,1,Attchd,20,CBlock,Gd,3,7,Ex,190000
2007,2007,1610,1582,789,3,2161,8,NridgHt,Gd,Ex,Ex,Fin,1,Attchd,60,PConc,Gd,1,8,Ex,325624
2004,2004,840,840,440,2,1720,7,Gilbert,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,Gd,1,7,Ex,183500
1981,1981,1707,1686,511,2,1707,8,Timber,Gd,Gd,TA,RFn,2,Attchd,20,CBlock,TA,1,6,TA,228000
1950,1941,854,720,660,2,1382,5,OldTown,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,7,TA,128500
1960,1960,1656,1080,528,2,1656,6,NAmes,TA,TA,TA,Fin,1,Attchd,20,CBlock,Gd,2,7,Fa,215000
1987,1987,1064,1064,504,2,1767,7,StoneBr,Gd,Gd,Gd,RFn,2,Attchd,160,PConc,TA,1,5,Gd,239000
1961,1961,1362,1362,504,2,1362,6,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,TA,1,6,TA,163000
1986,1986,1651,1606,616,2,1651,6,Timber,TA,Gd,TA,Fin,2,Attchd,20,CBlock,TA,1,7,TA,184000
2001,1950,2158,1202,576,2,2158,6,Edwards,TA,TA,Gd,Unf,2,Attchd,20,CBlock,Gd,1,7,TA,243000
1989,1988,1164,1151,521,2,2060,6,ClearCr,Gd,Gd,TA,Unf,2,Attchd,60,PConc,TA,1,8,TA,211000
1958,1958,1252,1052,451,2,1920,5,Sawyer,Gd,TA,Gd,Unf,2,Attchd,50,CBlock,Gd,1,8,Ex,172500
2009,2008,2234,2216,1166,3,2234,9,StoneBr,Ex,Ex,Ex,Fin,2,Attchd,20,PConc,Gd,1,9,Ex,501837
2006,1923,968,968,480,2,968,5,OldTown,Gd,TA,TA,Unf,1,Detchd,30,CBlock,,0,5,TA,100000
2000,2000,769,756,440,2,1525,6,Somerst,Gd,Gd,Gd,Unf,2,Detchd,160,PConc,TA,1,5,Ex,177000
1950,1920,901,793,216,1,1802,7,Crawfor,TA,Fa,TA,Unf,1,Detchd,70,BrkTil,Gd,1,9,Gd,200100
2006,1957,1340,0,252,1,1340,5,Edwards,TA,,TA,RFn,1,Attchd,20,PConc,Gd,1,7,Ex,120000
2003,2003,1362,1362,484,2,2082,7,OldTown,TA,Gd,Gd,Unf,2,Detchd,50,PConc,,0,6,Ex,200000
1991,1908,936,504,576,2,1252,5,BrkSide,TA,Fa,TA,Unf,1,Attchd,50,PConc,,0,5,Gd,127000
1993,1892,1518,1107,840,3,3608,10,OldTown,Gd,TA,Ex,Unf,2,Detchd,75,BrkTil,TA,2,12,Ex,475000
1991,1990,1217,1188,497,2,1217,7,Mitchel,TA,Gd,Gd,Unf,2,Attchd,80,PConc,,0,6,Ex,173000
1987,1916,808,660,180,1,1656,5,OldTown,TA,Fa,TA,Unf,2,Detchd,50,CBlock,,0,8,Ex,135000
1979,1979,1224,1086,528,2,1224,5,SawyerW,TA,Gd,TA,Unf,0,Detchd,90,CBlock,TA,2,6,TA,153337
2002,2001,1593,1593,682,2,1593,8,StoneBr,Gd,Ex,Ex,Fin,1,Attchd,120,PConc,Gd,1,5,Ex,286000
1994,1932,1549,853,440,2,2727,8,Crawfor,Gd,Gd,Gd,Unf,2,Detchd,70,CBlock,TA,2,10,TA,315000
2004,1972,725,725,484,2,1479,7,NAmes,TA,TA,Gd,Fin,1,Attchd,60,CBlock,,0,7,Gd,184000
1999,1999,1431,1431,666,2,1431,7,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,,0,6,Ex,192000
2004,2004,970,970,380,2,1709,7,Edwards,Gd,Gd,Gd,Unf,2,Detchd,160,PConc,,0,7,Ex,130000
1972,1972,864,864,352,1,864,5,CollgCr,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,5,TA,127000
1976,1976,855,855,440,2,1456,6,NPkVill,TA,Gd,TA,Unf,2,Attchd,160,CBlock,TA,1,7,TA,148500
2007,2007,1726,1726,786,3,1726,7,Somerst,Ex,Ex,Ex,Fin,2,Attchd,20,PConc,Gd,1,8,Ex,311872
1990,1918,1360,1360,795,2,3112,8,NAmes,Gd,TA,Gd,Unf,2,Detchd,75,PConc,Ex,1,8,Gd,235000
1950,1912,929,755,0,0,2229,6,OldTown,TA,TA,TA,,1,,75,CBlock,,0,8,Ex,104000
2005,2004,1713,1713,856,3,1713,8,NridgHt,Gd,Ex,Ex,Fin,2,Attchd,20,PConc,Gd,1,7,Ex,274900
2004,2003,1121,1121,440,2,1121,4,Edwards,TA,Gd,TA,RFn,2,Attchd,20,PConc,,0,5,Ex,140000
1977,1977,1279,1196,473,2,1279,6,Mitchel,TA,TA,TA,Unf,2,Detchd,20,CBlock,Fa,2,6,TA,171500
1950,1924,865,617,398,1,1310,6,OldTown,TA,Fa,TA,Unf,2,Attchd,50,BrkTil,,0,6,Gd,112000
2004,2004,848,848,420,2,848,6,CollgCr,Gd,Gd,Gd,RFn,1,Attchd,120,PConc,Gd,1,3,Ex,149000
1950,1947,720,720,240,1,1284,5,OldTown,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,5,TA,110000
1990,1990,1442,1424,500,2,1442,7,Gilbert,TA,Gd,TA,RFn,2,Attchd,20,PConc,,0,5,Ex,180500
